Pays,Production_MT,Importation_MT,Exportation_MT,Disponibilité_interieure_MT,Nourriture_MT,Distance_France,PIB_millions$,Political_Stability,Population_1000hab,Easy_Doing_Business_Score,Score_Starting_Business_Score
Afghanistan,28,29,0,57,55,5590.381,18896.35202,-2.8,36296.113,39.237019911479,90.354771707811
Albanie,13,38,0,47,47,1603.534,13019.72986,0.38,2884.169,63.987013043041,91.427356584358
Algérie,275,2,0,277,264,1340.39,170096.9845,-0.92,41389.189,45.796580407749,78.040544648169
Angola,42,277,0,319,315,6510.322,122123.8586,-0.33,29816.766,37.193223694169,79.666458132903
Antigua-et-Barbuda,0,7,0,7,5,6708.77,1467.977778,0.75,95.426,58.44521115859,81.670028013059
Argentine,2161,8,207,1962,1856,11072.25,643628.3962,0.17,43937.14,57.905163811761,73.506750972972
Arménie,11,35,0,47,47,3434.071,11527.45871,-0.62,2944.791,70.631539124436,94.346017291293
Australie,1269,16,42,1171,1171,16975.46,1416783.719,0.89,24584.62,80.222790025611,96.469012745815
Autriche,148,110,78,173,160,1035.144,417261.1518,1.05,8819.901,78.501436887736,81.513530927171
Azerbaïdjan,104,27,0,129,129,3817.547,40866.63205,-0.75,9845.32,64.675889068373,96.06830006481
Bangladesh,249,0,0,250,240,7916.79,245633.4889,-1.26,159685.424,41.276252519933,81.507481082508
Barbade,15,2,0,17,13,6882.34,4985.965,0.97,286.232,58.033442277076,86.320696090872
Bélarus,463,21,152,265,264,1823.709,54725.41881,-0.05,9450.231,72.467117380617,91.901712946687
Belgique,463,338,656,152,144,262.3845,502764.7206,0.43,11419.748,72.058520949346,86.522532866726
Belize,20,0,0,19,10,8664.439,1844.906692,0.04,375.769,55.369684597933,73.22817033081
Bénin,18,123,0,161,161,4726.537,12701.65585,0.03,11175.198,49.790498444031,90.564767431776
Bosnie-Herzégovine,61,10,8,55,56,1352.463,18080.61088,-0.35,3351.525,65.106471229403,58.684247167259
Botswana,5,3,0,7,7,8522.764,17405.49671,1.02,2205.08,65.798138032652,76.206211341764
Brésil,14201,3,4223,9982,9982,9408.406,2063514.689,-0.42,207833.823,54.878221349007,65.18635187753
Bulgarie,107,108,45,157,157,1760.707,59200.84512,0.33,7102.444,71.406248501496,85.354133503206
Burkina Faso,46,0,0,46,44,4082.87,14106.95563,-0.93,19193.234,50.585720176102,88.685009264814
Cambodge,28,10,0,38,37,9947.79,22177.20063,0.09,16009.409,53.157490117677,50.910974375435
Cameroun,81,0,0,82,78,5085.718,35009.2598,-1.1,24566.073,41.725833564465,75.270060397481
Canada,1417,182,163,1433,1433,6004.645,1649518.967,1.1,36732.095,80.04017419434,98.232618649676
Tchad,6,1,0,7,7,4248.435,10394.02023,-1.29,15016.753,36.008473428851,51.910338407616
Chili,712,155,115,672,672,11663.39,277034.6787,0.42,18470.439,71.56660640874,87.209630039066
Colombie,1564,78,2,1643,1565,8707.677,311883.7304,-0.77,48909.839,69.510851092589,85.305538875547
Costa Rica,133,17,3,134,131,8919.449,60516.04462,0.61,4949.954,67.266330450031,78.540026241202
Côte d'Ivoire,58,7,0,65,62,4884.159,51588.15431,-1.09,24437.47,51.181389504968,89.91278102622
Croatie,61,24,17,45,45,1081.762,56214.4324,0.69,4182.857,72.524564011265,82.46323859806
Chypre,25,14,1,38,30,2954.551,22870.73432,0.54,1179.678,72.289024240238,90.955061145138
