Pays,Production_MT,Importation_MT,Disponibilite_interieure_MT,Nourriture_MT,distance_France,PIB_US_$_M,Political_stability,pop_2012,pop_2017,Ease_of_doing_business_score,Score_Starting _a_business,Dispo_alim(Kcal/personne/jour)_Total_General,Dispo_proteines_quantite(g/personne/jour)_Total_General,Dispo_alim_quantite(kg/personne/an)_Viande_Volailles,Disp_alim(Kcal/personne/jour)_Viande_Volailles,Dispo_proteines_quantite(g/personne/jour)_Viande_Volailles,Importation_nb_tete,Importation-tonnes,Importation_$USD,January,February,March,April,May,June,July,August,September,October,November,December,Apport_moyen_proteine(g/capita/day),Apport_moyen_proteine_animal(g/capita/day),pop_evol_12-17,part_protein_Volaille/total,volaille_import/nb_hab,volaille_prod/hab,volaille_nourriture/hab
1,Afghanistan,28,29,57,55,5590.381,18896.35202,-2.8,31161376,36296113,39.237019911479,90.354771707811,2303,59.5,1.76,6,0.63,18970,0,26227000,4.730651,4.553673,10.028383,9.36788,10.723921,10.87936,7.353894,5.862761,5.37764,5.435571,4.66338,4.513232,55.7,10.7,16.4778891663834,1.06,0.00000079898362670405,0.000000771432467162531,0.00000151531377478354
2,Albania,13,38,47,47,1603.534,13019.72986,0.38,2914096,2884169,63.987013043041,91.427356584358,3326,114.72,11.45,59,4.44,4572,1059,3266000,8.480869,3.920438,3.323599,3.009334,3.755165,5.094945,4.673314,3.304761,3.478355,4.020995,3.741909,2.828068,116.7,62.7,-1.02697371672038,3.87,0.00001317537217826,0.00000450736416624685,0.0000162958550625848
3,Algeria,275,2,277,264,1340.39,170096.9845,-0.92,37383895,41389189,45.796580407749,78.040544648169,3383,88.64,6.91,24,2.13,195,195,19051000,6.855657,7.248144,7.091977,5.803252,4.249248,1.847162,-0.115799,3.493406,5.254969,8.300537,5.164835,5.292562,92.3,25.6,10.7139558357951,2.4,0.0000000483217972693304,0.00000664424712453293,0.00000637847723955161
4,Angola,42,277,319,315,6510.322,122123.8586,-0.33,25107931,29816766,37.193223694169,79.666458132903,2441,53.59,10.65,36,3.63,1649,34,1814000,44.961982,41.157397,38.394561,36.064298,32.289372,29.537106,24.000588,20.066764,19.720958,20.905177,20.627966,19.217375,51.7,15.7,18.7543728712653,6.77,0.00000929007525497567,0.00000140860346826346,0.0000105645260119759
5,Antigua and Barbuda,0,7,7,5,6708.77,1467.977778,0.75,90409,95426,58.44521115859,81.670028013059,2446,80.43,57.31,247,18.75,10,1,35000,0.150972,1.034439,2.579327,1.695023,2.243158,1.878807,1.81888,1.0432,2.596904,1.858547,3.050373,2.545015,78.7,50,5.54922629384243,23.31,0.000073355270052187,0,0.0000523966214658479
6,Argentina,2161,8,1962,1856,11072.25,643628.3962,0.17,41755196,43937140,57.905163811761,73.506750972972,3269,105.69,44.66,192,14.31,671,29,14940000,12.942781,13.825357,15.777267,17.131176,17.467366,17.345082,17.516866,18.799047,19.771391,20.42117,20.699695,20.36,105,67.3,5.22556282576185,13.54,0.000000182078305506458,0.0000491839022749319,0.0000422421668774982
7,Armenia,11,35,47,47,3434.071,11527.45871,-0.62,2884234,2944791,70.631539124436,94.346017291293,3072,97.7,15.38,52,5.21,6821,437,4169000,1.803501,3.662245,3.401757,5.874349,6.167155,5.050388,3.331979,2.577892,2.921893,3.591704,5.028122,5.49047,96,44.7,2.09958692671954,5.33,0.0000118853935644329,0.00000373540940596463,0.0000159603856436671
8,Austria,148,110,173,160,1035.144,417261.1518,1.05,8502227,8819901,78.501436887736,81.513530927171,3687,107.42,18.2,65,7.49,14751,26497,32714000,1.791044,2.279494,1.585776,1.086908,2.083391,2.290846,2.189044,2.48761,3.093801,3.174613,3.168325,3.165191,108.3,64.7,3.7363622495612,6.97,0.0000124717953183375,0.0000167802337010359,0.0000181407931903091
9,Azerbaijan,104,27,129,129,3817.547,40866.63205,-0.75,9264692,9845320,64.675889068373,96.06830006481,3137,92.41,13.11,44,4.45,3230,230,5083000,15.201137,17.322273,20.522987,20.80931,19.989033,18.739699,19.489229,19.109905,16.415404,16.404219,13.763175,10.212895,92,31.7,6.26710526372598,4.82,0.00000274241974867247,0.0000105633945874791,0.0000131026721325462
10,Bahamas,6,24,26,16,7209.45,12359.74942,0.99,363584,381755,57.044632628353,84.486814931858,2644,81.62,51.68,220,19.71,402,0,254000,-3.593706,-3.420226,-1.386139,-0.627973,-0.371429,0.276427,1.123596,2.544088,0.524559,-0.262443,1.888412,1.851852,81.3,52.3,4.99774467523323,24.15,0.0000628675459391495,0.0000157168864847874,0.0000419116972927663
11,Bangladesh,249,0,250,240,7916.79,245633.4889,-1.26,151005739,159685424,41.276252519933,81.507481082508,2538,59.47,1.61,7,0.5,4056,80,22281000,6.53075,6.836012,6.890586,6.936538,7.366514,7.506334,6.946022,7.32151,7.86671,7.616502,7.092739,7.128244,59.7,11.7,5.74791730266622,0.84,0,0.00000155931577073685,0.00000150295495974636
12,Belarus,463,21,265,264,1823.709,54725.41881,-0.05,9417046,9450231,72.467117380617,91.901712946687,3262,89.33,28.02,95,9.44,6733,291,9034000,10.280402,8.442957,7.607677,7.671601,8.228014,9.064274,7.913248,6.444996,5.73929,5.295679,4.22852,4.24,91,51,0.352392884137977,10.57,0.00000222216790256238,0.000048993511375542,0.0000279358250607842
13,Belgium,463,338,152,144,262.3845,502764.7206,0.43,11085358,11419748,72.058520949346,86.522532866726,3768,98.52,11.19,39,3.92,141743,216781,207538000,2.150503,2.5941,1.488404,0.07643,0.182564,-0.105776,0.803294,1.417888,1.406186,1.350722,1.748561,2.087504,98.7,58.3,3.01650158704843,3.98,0.0000295978510208807,0.0000405438018422123,0.000012609735346174
14,Belize,20,0,19,10,8664.439,1844.906692,0.04,338000,375769,55.369684597933,73.22817033081,2712,66.71,25.68,110,8.26,132,0,665000,-2.528061,-2.094548,-1.651508,-1.712156,-1.272279,-0.554264,-0.676534,-0.726648,-1.059354,-0.789893,-0.602236,0.140398,68.7,27,11.1742603550296,12.38,0,0.0000532241882645987,0.0000266120941322994
