Country,Production_MT,Importation_MT,PIB_US_$_M,Political_stability,inflation_moy,pop_2017,part_protein_Volaille/total,distance_France,Ease_of_doing_business_score
Afghanistan,28,29,18896.35202,-2.8,6.95752883333333,36296113,1.06,5590.381,39.237019911479
Albania,13,38,13019.72986,0.38,4.13597933333333,2884169,3.87,1603.534,63.987013043041
Algeria,275,2,170096.9845,-0.92,5.04049583333333,41389189,2.4,1340.39,45.796580407749
Angola,42,277,122123.8586,-0.33,28.911962,29816766,6.77,6510.322,37.193223694169
Antigua and Barbuda,0,7,1467.977778,0.75,1.87455375,95426,23.31,6708.77,58.44521115859
Argentina,2161,8,643628.3962,0.17,17.6714331666667,43937140,13.54,11072.25,57.905163811761
Armenia,11,35,11527.45871,-0.62,4.07512125,2944791,5.33,3434.071,70.631539124436
Austria,148,110,417261.1518,1.05,2.36633691666667,8819901,6.97,1035.144,78.501436887736
Azerbaijan,104,27,40866.63205,-0.75,17.3316055,9845320,4.82,3817.547,64.675889068373
Bahamas,6,24,12359.74942,0.99,-0.121081833333333,381755,24.15,7209.45,57.044632628353
Bangladesh,249,0,245633.4889,-1.26,7.16987175,159685424,0.84,7916.79,41.276252519933
Belarus,463,21,54725.41881,-0.05,7.09638816666667,9450231,10.57,1823.709,72.467117380617
Belgium,463,338,502764.7206,0.43,1.26669833333333,11419748,3.98,262.3845,72.058520949346
Benin,18,123,12701.65585,0.03,1.75528625,11175198,6.06,4726.537,49.790498444031
Bosnia and Herzegovina,61,10,18080.61088,-0.35,1.33027891666667,3351525,6.55,1352.463,65.106471229403
Botswana,5,3,17405.49671,1.02,3.45278333333333,2205080,1.68,8522.764,65.798138032652
Brazil,14201,3,2063514.689,-0.42,0.949267,207833823,16.44,9408.406,54.878221349007
Bulgaria,107,108,59200.84512,0.33,3.989343,7102444,10.21,1760.707,71.406248501496
Burkina Faso,46,0,14106.95563,-0.93,2.03886116666667,19193234,0.93,4082.87,50.585720176102
Cambodia,28,10,22177.20063,0.09,3.416926,16009409,1.07,9947.79,53.157490117677
Cameroon,81,0,35009.2598,-1.1,0.0374003333333333,24566073,1.49,5085.718,41.725833564465
Canada,1417,182,1649518.967,1.1,-0.975202333333333,36732095,13.21,6004.645,80.04017419434
Chad,6,1,10394.02023,-1.29,-3.71811158333333,15016753,0.18,4248.435,36.008473428851
Chile,712,155,277034.6787,0.42,2.030305,18470439,14.66,11663.39,71.56660640874
Colombia,1564,78,311883.7304,-0.77,0.722420666666667,48909839,14.22,8707.677,69.510851092589
Costa Rica,133,17,60516.04462,0.61,1.69864825,4949954,9.87,8919.449,67.266330450031
Croatia,61,24,56214.4324,0.69,2.91425075,4182857,4.47,1081.762,72.524564011265
Cyprus,25,14,22870.73432,0.54,-0.21943825,1179678,10.31,2954.551,72.289024240238
Czechia,163,116,218628.941,1,5.18512975,10641034,8.63,884.6105,76.727671041604
Denmark,173,133,332121.0638,0.87,2.80429116666667,5732274,9.71,1027.609,84.532354186107
Dominica,0,4,520.7,1.2,-0.224924333333333,71458,16.22,6826.396,61.235746780885
Dominican Republic,339,42,79998.04598,0.16,2.33342158333333,10513104,16.99,7178.52,57.550130267453
Ecuador,340,0,104295.862,-0.07,0.498741416666667,16785361,10.29,9367.098,57.377114249247
El Salvador,136,16,24979.19,-0.26,0.181296,6388126,9.44,8984.298,62.65252506004
Estonia,20,21,26924.3851,0.65,5.71972075,1319390,7.09,1859.091,80.828593984749
Ethiopia,14,1,76794.51691,-1.68,11.28411375,106399924,0.33,5582.502,44.06310965901
Fiji,23,3,5353.491805,0.64,-2.07997491666667,877459,12.19,16595.08,60.984856432669
Finland,129,16,255647.9799,1.08,-0.912608666666667,5511371,6.71,1911.138,79.860022607856
France,1750,506,2595151.045,0.28,1.08858833333333,64842509,7.93,278.1876,76.20155734382
Gabon,4,76,14929.64648,-0.1,-0.715937416666667,2064823,13.15,5438.787,43.043146815659
Gambia,2,16,1504.954083,-0.08,8.71636408333333,2213889,4.24,4308.25,47.735008812359
Georgia,22,51,16242.68708,-0.37,6.79227391666667,4008716,6.91,3373.349,80.793507630241
Germany,1514,842,3690849.153,0.59,2.76249683333333,82658409,7.1,439.8984,79.428672782228
Ghana,60,151,60403.02757,0.09,7.27245341666667,29121465,3.69,4827.292,57.839628926912
Greece,246,79,199844.4184,-0.07,0.3203555,10569450,5.96,2098.726,67.173090095032
Grenada,1,7,1125.685185,1.01,0.53842875,110874,21.66,7120.287,53.388707087885
Guatemala,235,129,71653.75655,-0.65,8.87334316666667,16914970,8.24,9001.048,60.956307500912
Guinea,13,37,10324.66826,-0.7,13.592285,12067519,1.38,4691.556,45.88272688687
Guinea-Bissau,3,4,1350.177012,-0.5,-0.22836825,1828145,1.69,4440.633,42.997944873699
